,title,hours,videos,exercises,participants,xp,clean,descriptions,tracks,instructors,datasets,prereqs,link,topic,tech
0,,4,0,62,"1,317,429","6,200",,,[],[],[],[],https://www.datacamp.com/courses/free-introduction-to-r,,
1,,4,11,57,"1,656,629","4,700",,,[],[],[],[],https://www.datacamp.com/courses/intro-to-python-for-data-science,,
2,,4,0,35,"31,090","3,500",,,[],[],[],[],https://www.datacamp.com/courses/importing-cleaning-data-in-r-case-studies,,
3,,4,0,41,"361,803","3,450",,,[],[],[],[],https://www.datacamp.com/courses/intro-to-sql-for-data-science,,
4,A/B Testing in R,4,16,60,"3,203","4,700",A/B Testing in R,"A/B Testing in R
In this course, you will learn the foundations of A/B testing, including hypothesis testing, experimental design, and confounding variables. You will also be exposed to a couple more advanced topics, sequential analysis and multivariate testing. The first dataset will be a generated example of a cat adoption website. You will investigate if changing the homepage image affects conversion rates (the percentage of people who click a specific button). For the remainder of the course you will use another generated dataset of a hypothetical data visualization website.
Short case study on building and analyzing an A/B experiment.
In this chapter we'll continue with our case study, now moving to our statistical analysis. We'll also discuss how to do follow-up experiment planning.
In this chapter we'll dive deeper into the core concepts of A/B testing. This will include discussing A/B testing research questions, assumptions and types of A/B testing, as well as what confounding variables and side effects are.
In the final chapter we'll go over more types of statistical tests and power analyses for different A/B testing designs. We'll also introduce the concepts of stopping rules, sequential analysis, and multivariate analysis.",[],"['Page Piccinini', 'Chester Ismay', 'David Campos', 'Shon Inouye']","[('Click dataset', 'https://assets.datacamp.com/production/repositories/2292/datasets/4407050e9b8216249a6d5ff22fd67fd4c44e7301/click_data.csv'), ('Experiment dataset', 'https://assets.datacamp.com/production/repositories/2292/datasets/52b52cb1ca28ce10f9a09689325c4d94d889a6da/experiment_data.csv'), ('Data Visualization Website - April 2018', 'https://assets.datacamp.com/production/repositories/2292/datasets/b502094e5de478105cccea959d4f915a7c0afe35/data_viz_website_2018_04.csv')]","['Intermediate R', 'Foundations of Inference', 'Experimental Design in R']",https://www.datacamp.com/courses/ab-testing-in-r,Probability & Statistics,R
5,ARIMA Modeling with R,4,13,45,"16,735","3,600",ARIMA Modeling R,"ARIMA Modeling with R
In this course, you will become an expert in fitting ARIMA models to time series data using R.  First, you will explore the nature of time series data using the tools in the R stats package.  Next, you learn how to fit various ARMA models to simulated data (where you will know the correct model) using the R package astsa.  Once you have mastered the basics, you will learn how to fit integrated ARMA models, or ARIMA models to various real data sets. You will learn how to check the validity of an ARIMA model and you will learn how to forecast time series data.  Finally, you will learn how to fit ARIMA models to seasonal data, including forecasting using the astsa package.
You will  investigate the nature of time series data and learn the basics of ARMA models that can explain the behavior of such data.  You will learn the basic R commands needed to help set up raw time series data to a form that can be analyzed using ARMA models.
You will discover the wonderful world of ARMA models and how to fit these models to time series data. You will learn how to identify a model, how to choose the correct model, and how to verify a model once you fit it to data.  You will learn how to use R time series commands from the stats and astsa packages.
Now that you know how to fit ARMA models to stationary time series, you will learn about integrated ARMA (ARIMA) models for nonstationary time series.  You will fit the models to real data using R time series commands from the stats and astsa packages.
You will learn how to fit and forecast seasonal time series data using seasonal ARIMA models. This is accomplished using what you learned in the previous chapters and by learning how to extend the R time series commands available in the stats and astsa packages.","['Quantitative Analyst with R', 'Time Series with R']","['David Stoffer', 'Lore Dirick', 'Matt Isaacs']",[],"['Introduction to R', 'Intermediate R', 'Introduction to Time Series Analysis']",https://www.datacamp.com/courses/arima-modeling-with-r,Probability & Statistics,R
6,Advanced Deep Learning with Keras in Python,4,13,46,"6,620","3,950",Advanced Deep Learning Keras,"Advanced Deep Learning with Keras in Python
This course shows you how to solve a variety of problems using the versatile Keras functional API. You will start with simple, multi-layer dense networks (also known as multi-layer perceptrons), and continue on to more complicated architectures. The course will cover how to build models with multiple inputs and a single output, as well as how to share weights between layers in a model. We will also cover advanced topics such as category embeddings and multiple-output networks. If you've ever wanted to train a network that does both classification and regression, then this course is for you!
In this chapter, you'll become familiar with the basics of the Keras functional API.  You'll build a simple functional network using functional building blocks, fit it to data, and make predictions.
In this chapter, you will build two-input networks that use categorical embeddings to represent high-cardinality data, shared layers to specify re-usable building blocks, and merge layers to join multiple inputs to a single output. By the end of this chapter, you will have the foundational building blocks for designing neural networks with complex data flows.
In this chapter, you will extend your 2-input model to 3 inputs, and learn how to use Keras' summary and plot functions to understand the parameters and topology of your neural networks. By the end of the chapter, you will understand how to extend a 2-input model to 3 inputs and beyond.
In this chapter, you will build neural networks with multiple outputs, which can be used to solve regression problems with multiple targets.  You will also build a model that solves a regression problem and a classification problem simultaneously.",[],"['Zachary Deane-Mayer', 'Sumedh Panchadhar']","[('Basketball data', 'https://assets.datacamp.com/production/repositories/2189/datasets/78cfc4f848041e10a64e72a9cd4f0a8e6f80ab21/basketball_data.zip'), ('Basketball models', 'https://assets.datacamp.com/production/repositories/2189/datasets/87408a711961f0d640f7c31faa9cfbf8248e6a23/basketball_models.zip')]",['Deep Learning in Python'],https://www.datacamp.com/courses/advanced-deep-learning-with-keras-in-python,Machine Learning,Python
7,Advanced Dimensionality Reduction in R,4,16,51,846,"4,300",Advanced Dimensionality Reduction in R,"Advanced Dimensionality Reduction in R
Dimensionality reduction techniques are based on unsupervised machine learning algorithms and their application offers several advantages. In this course you will learn how to apply dimensionality reduction techniques to exploit these advantages, using interesting datasets like the MNIST database of handwritten digits, the fashion version of MNIST released by Zalando, and a credit card fraud detection dataset. Firstly, you will have a look at t-SNE, an algorithm that performs non-linear dimensionality reduction. Then, you will also explore some useful characteristics of dimensionality reduction to apply in predictive models. Finally, you will see the application of GLRM to compress big data (with numerical and categorical values) and impute missing values. Are you ready to start compressing high dimensional data?
Are you ready to become a master of dimensionality reduction?
In this chapter, you'll start by understanding how to represent handwritten digits using the MNIST dataset.  You will learn what a distance metric is and which ones are the most common, along with the problems that arise with the curse of dimensionality.
Finally, you will compare the application of PCA and t-SNE .
Now, you will learn how to apply the t-Distributed Stochastic Neighbour Embedding (t-SNE) algorithm. After finishing this chapter, you will understand the different hyperparameters that have an impact on your results and how to optimize them. Finally,  you will do something really cool: compute centroids prototypes of each digit to classify other digits.
In this chapter, you'll apply t-SNE to train predictive models faster. This is one of the many advantages of dimensionality reduction. You will learn how to train a random forest with the original features and with the embedded features and compare them. You will also apply t-SNE to understand the patterns learned by a neural network. And all of this using a real credit card fraud dataset!
In the final chapter, you will practice another useful dimensionality reduction algorithm: GLRM. Here you will make use of the Fashion MNIST data to classify clothes, impute missing data and also train random forests using the low dimensional embedding.",['Unsupervised Machine Learning with R'],"['Federico Castanedo', 'Chester Ismay', 'Sara Billen']","[('MNIST sample', 'https://assets.datacamp.com/production/repositories/1680/datasets/68b37d6c5f7f6768d5e11796687993b6f3da1f72/mnist-sample-200.RData'), ('Credit card fraud', 'https://assets.datacamp.com/production/repositories/1680/datasets/5b6c593225dc1f417f82822cb5fce83887890f4a/creditcard.RData'), ('Fashion MNIST sample', 'https://assets.datacamp.com/production/repositories/1680/datasets/8d19bc657cc5b03e9b368eb6d3ff0527c50d184d/fashion_mnist_500.RData')]",['Dimensionality Reduction in R'],https://www.datacamp.com/courses/advanced-dimensionality-reduction-in-r,Machine Learning,R
8,Advanced NLP with spaCy,5,15,55,"4,517","4,450",Advanced NLP spaCy,"Advanced NLP with spaCy
If you're working with a lot of text, you'll eventually want to know more about it. For example, what's it about? What do the words mean in context? Who is doing what to whom? What companies and products are mentioned? Which texts are similar to each other? In this course, you'll learn how to use spaCy, a fast-growing industry standard library for NLP in Python, to build advanced natural language understanding systems, using both rule-based and machine learning approaches.
This chapter will introduce you to the basics of text processing with spaCy. You'll learn about the data structures, how to work with statistical models, and how to use them to predict linguistic features in your text.
In this chapter, you'll use your new skills to extract specific information from large volumes of text. You'll learn how to make the most of spaCy's data structures, and how to effectively combine statistical and rule-based approaches for text analysis.
This chapter will show you to everything you need to know about spaCy's processing pipeline. You'll learn what goes on under the hood when you process a text, how to write your own components and add them to the pipeline, and how to use custom attributes to add your own meta data to the documents, spans and tokens.
In this chapter, you'll learn how to update spaCy's statistical models to customize them for your use case – for example, to predict a new entity type in online comments. You'll write your own training loop from scratch, and understand the basics of how training works, along with tips and tricks that can make your custom NLP projects more successful.",[],"['Ines Montani', 'Mari Nazary', 'Adrián Soto']",[],['Natural Language Processing Fundamentals in Python'],https://www.datacamp.com/courses/advanced-nlp-with-spacy,Data Manipulation,Python
9,Analyzing Business Data in SQL,4,15,46,"4,241","3,700",Analyzing Business Data in SQL,"Analyzing Business Data in SQL
Businesses track data on everything, from operations to marketing to HR. Leveraging this data enables businesses to better understand themselves and their customers, leading to higher profits and better performance. In this course, you’ll learn about the key metrics that businesses use to measure performance. You'll write SQL queries to calculate these metrics and produce report-ready results. Throughout the course, you'll study data from a fictional food delivery startup, modeled on data from real companies.
Profit is one of the first things people use to assess a company's success. In this chapter, you'll learn how to calculate revenue and cost, and then combine the two calculations using Common Table Expressions to calculate profit.
Financial KPIs like profit are important, but they don't speak to user activity and engagement. In this chapter, you'll learn how to calculate the registrations and active users KPIs, and use window functions to calculate the user growth and retention rates.
Since a KPI is a single number, it can't describe how data is distributed. In this chapter, you'll learn about unit economics, histograms, bucketing, and percentiles, which you can use to spot the variance in user behaviors.
Executives often use the KPIs you've calculated in the three previous chapters to guide business decisions. In this chapter, you'll package the KPIs you've created into a readable report you can present to managers and executives.",[],"['Michel Semaan', 'Mona Khalil', 'Sara Billen']",[],['Intermediate SQL'],https://www.datacamp.com/courses/analyzing-business-data-in-sql,Case Studies,SQL
